1/200 ERROR w = uniform, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
34/200 w = uniform, k = 3, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 56.52
35/200 w = uniform, k = 3, l1 = 0.5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 1.77
36/200 w = uniform, k = 3, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 53.6
37/200 w = uniform, k = 3, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 53.81
38/200 w = uniform, k = 3, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.93
39/200 w = uniform, k = 3, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 55.11000000000001
40/200 w = uniform, k = 3, l1 = 1, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 1.81
41/200 w = uniform, k = 3, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 53.760000000000005
42/200 w = uniform, k = 3, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 53.77000000000001
43/200 w = uniform, k = 3, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.68000000000001
44/200 w = uniform, k = 3, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 53.66000000000001
45/200 w = uniform, k = 3, l1 = 5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 55.790000000000006
46/200 w = uniform, k = 3, l1 = 50, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 53.42
47/200 w = uniform, k = 3, l1 = 50, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 53.32
48/200 w = uniform, k = 3, l1 = 50, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.300000000000004
49/200 w = uniform, k = 3, l1 = 50, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 53.09
50/200 w = uniform, k = 3, l1 = 50, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 52.99
51/200 ERROR w = uniform, k = 10, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
52/200 ERROR w = uniform, k = 10, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
53/200 ERROR w = uniform, k = 10, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
54/200 ERROR w = uniform, k = 10, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
55/200 ERROR w = uniform, k = 10, l1 = 0, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
56/200 w = uniform, k = 10, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 52.300000000000004
57/200 w = uniform, k = 10, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 52.739999999999995
58/200 w = uniform, k = 10, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.33
59/200 w = uniform, k = 10, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 55.55
60/200 w = uniform, k = 10, l1 = 0.5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 2.18
61/200 w = uniform, k = 10, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 51.88
62/200 w = uniform, k = 10, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 52.03
63/200 w = uniform, k = 10, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 52.12
64/200 w = uniform, k = 10, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 53.690000000000005
65/200 w = uniform, k = 10, l1 = 1, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 2.37
66/200 w = uniform, k = 10, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 51.94
67/200 w = uniform, k = 10, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 51.870000000000005
68/200 w = uniform, k = 10, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 51.77
69/200 w = uniform, k = 10, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 51.790000000000006
70/200 w = uniform, k = 10, l1 = 5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 54.52
71/200 w = uniform, k = 10, l1 = 50, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 51.94
72/200 w = uniform, k = 10, l1 = 50, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 51.86000000000001
73/200 w = uniform, k = 10, l1 = 50, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 51.78
74/200 w = uniform, k = 10, l1 = 50, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 51.56
75/200 w = uniform, k = 10, l1 = 50, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 51.31
76/200 ERROR w = uniform, k = 50, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
77/200 ERROR w = uniform, k = 50, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
78/200 ERROR w = uniform, k = 50, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
79/200 ERROR w = uniform, k = 50, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
80/200 ERROR w = uniform, k = 50, l1 = 0, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
81/200 w = uniform, k = 50, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 49.260000000000005
82/200 w = uniform, k = 50, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 49.510000000000005
83/200 w = uniform, k = 50, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 49.8
84/200 w = uniform, k = 50, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 52.660000000000004
85/200 w = uniform, k = 50, l1 = 0.5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 3.61
86/200 w = uniform, k = 50, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 48.410000000000004
87/200 w = uniform, k = 50, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 48.42
88/200 w = uniform, k = 50, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 48.64
89/200 w = uniform, k = 50, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 50.040000000000006
90/200 w = uniform, k = 50, l1 = 1, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 5.9
91/200 w = uniform, k = 50, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 48.550000000000004
92/200 w = uniform, k = 50, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 48.44
93/200 w = uniform, k = 50, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 48.35
94/200 w = uniform, k = 50, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 48.339999999999996
95/200 w = uniform, k = 50, l1 = 5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 50.75000000000001
96/200 w = uniform, k = 50, l1 = 50, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 48.32
97/200 w = uniform, k = 50, l1 = 50, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 48.32
98/200 w = uniform, k = 50, l1 = 50, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 48.25000000000001
99/200 w = uniform, k = 50, l1 = 50, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 48.010000000000005
100/200 w = uniform, k = 50, l1 = 50, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 47.660000000000004

101/200 ERROR w = distance, k = 1, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
102/200 ERROR w = distance, k = 1, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
103/200 ERROR w = distance, k = 1, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
104/200 ERROR w = distance, k = 1, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
105/200 ERROR w = distance, k = 1, l1 = 0, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
106/200 w = distance, k = 1, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 54.89000000000001
107/200 w = distance, k = 1, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 55.07000000000001
108/200 w = distance, k = 1, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 55.32
109/200 w = distance, k = 1, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 56.52
110/200 w = distance, k = 1, l1 = 0.5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 1.7400000000000002
111/200 w = distance, k = 1, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 54.78000000000001
112/200 w = distance, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 54.84
113/200 w = distance, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 54.94
114/200 w = distance, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 55.89000000000001
115/200 w = distance, k = 1, l1 = 1, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 1.59
116/200 w = distance, k = 1, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 54.32
117/200 w = distance, k = 1, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 54.27000000000001
118/200 w = distance, k = 1, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 54.300000000000004
119/200 w = distance, k = 1, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 54.290000000000006
120/200 w = distance, k = 1, l1 = 5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 55.790000000000006
121/200 w = distance, k = 1, l1 = 50, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 53.33
122/200 w = distance, k = 1, l1 = 50, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 53.28000000000001
123/200 w = distance, k = 1, l1 = 50, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.239999999999995
124/200 w = distance, k = 1, l1 = 50, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 53.12
125/200 w = distance, k = 1, l1 = 50, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 52.93
126/200 ERROR w = distance, k = 3, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
127/200 ERROR w = distance, k = 3, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
128/200 ERROR w = distance, k = 3, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
129/200 ERROR w = distance, k = 3, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
130/200 ERROR w = distance, k = 3, l1 = 0, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
131/200 w = distance, k = 3, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 54.1
132/200 w = distance, k = 3, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 54.27000000000001
133/200 w = distance, k = 3, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 54.620000000000005
134/200 w = distance, k = 3, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 56.52
135/200 w = distance, k = 3, l1 = 0.5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 1.78
136/200 w = distance, k = 3, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 53.6
137/200 w = distance, k = 3, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 53.81
138/200 w = distance, k = 3, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.93
139/200 w = distance, k = 3, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 55.11000000000001
140/200 w = distance, k = 3, l1 = 1, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 1.78
141/200 w = distance, k = 3, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 53.760000000000005
142/200 w = distance, k = 3, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 53.77000000000001
143/200 w = distance, k = 3, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.68000000000001
144/200 w = distance, k = 3, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 53.66000000000001
145/200 w = distance, k = 3, l1 = 5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 55.790000000000006
146/200 w = distance, k = 3, l1 = 50, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 53.42
147/200 w = distance, k = 3, l1 = 50, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 53.32
148/200 w = distance, k = 3, l1 = 50, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.300000000000004
149/200 w = distance, k = 3, l1 = 50, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 53.09
150/200 w = distance, k = 3, l1 = 50, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 52.99
151/200 ERROR w = distance, k = 10, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
152/200 ERROR w = distance, k = 10, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
153/200 ERROR w = distance, k = 10, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
154/200 ERROR w = distance, k = 10, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
155/200 ERROR w = distance, k = 10, l1 = 0, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
156/200 w = distance, k = 10, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 52.300000000000004
157/200 w = distance, k = 10, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 52.72
158/200 w = distance, k = 10, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 53.17000000000001
159/200 w = distance, k = 10, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 55.57
160/200 w = distance, k = 10, l1 = 0.5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 1.8900000000000001
161/200 w = distance, k = 10, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 51.690000000000005
162/200 w = distance, k = 10, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 51.92
163/200 w = distance, k = 10, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 52.019999999999996
164/200 w = distance, k = 10, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 53.7
165/200 w = distance, k = 10, l1 = 1, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 2.13
166/200 w = distance, k = 10, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 51.980000000000004
167/200 w = distance, k = 10, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 51.88
168/200 w = distance, k = 10, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 51.790000000000006
169/200 w = distance, k = 10, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 51.78
170/200 w = distance, k = 10, l1 = 5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 54.55
171/200 w = distance, k = 10, l1 = 50, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 51.93
172/200 w = distance, k = 10, l1 = 50, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 51.86000000000001
173/200 w = distance, k = 10, l1 = 50, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 51.760000000000005
174/200 w = distance, k = 10, l1 = 50, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 51.49
175/200 w = distance, k = 10, l1 = 50, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 51.4
176/200 ERROR w = distance, k = 50, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
177/200 ERROR w = distance, k = 50, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
178/200 ERROR w = distance, k = 50, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
179/200 ERROR w = distance, k = 50, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
180/200 ERROR w = distance, k = 50, l1 = 0, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = ERROR
181/200 w = distance, k = 50, l1 = 0.5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 49.24
182/200 w = distance, k = 50, l1 = 0.5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 49.480000000000004
183/200 w = distance, k = 50, l1 = 0.5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 49.730000000000004
184/200 w = distance, k = 50, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 52.650000000000006
185/200 w = distance, k = 50, l1 = 0.5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 2.7100000000000004
186/200 w = distance, k = 50, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 48.38
187/200 w = distance, k = 50, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 48.43
188/200 w = distance, k = 50, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 48.620000000000005
189/200 w = distance, k = 50, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 50.06
190/200 w = distance, k = 50, l1 = 1, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 4.36
191/200 w = distance, k = 50, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 48.47
192/200 w = distance, k = 50, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 48.39
193/200 w = distance, k = 50, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 48.31
194/200 w = distance, k = 50, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 48.33
195/200 w = distance, k = 50, l1 = 5, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 50.78
196/200 w = distance, k = 50, l1 = 50, l2 = 0, tukey = True, tukey_lambda = 0.5, accuracy = 48.400000000000006
197/200 w = distance, k = 50, l1 = 50, l2 = 0.5, tukey = True, tukey_lambda = 0.5, accuracy = 48.35
198/200 w = distance, k = 50, l1 = 50, l2 = 1, tukey = True, tukey_lambda = 0.5, accuracy = 48.27
199/200 w = distance, k = 50, l1 = 50, l2 = 5, tukey = True, tukey_lambda = 0.5, accuracy = 48.06
200/200 w = distance, k = 50, l1 = 50, l2 = 50, tukey = True, tukey_lambda = 0.5, accuracy = 47.7

